name;center;radius;perihelion;aphelion;mass;color;type
Sun;Center;6.9600000E+08;0.0000000E+00;0.0000000E+00;1.9900000E+30;#F2A516;Star
Mercury;Sun;2.4405300E+06;4.6001200E+10;6.9816900E+10;3.3000000E+23;#BFB6AE;Planet
Venus;Sun;6.0518000E+06;1.0747700E+11;1.0893900E+11;4.8700000E+24;#F2C879;Planet
Earth;Sun;6.3781366E+06;1.4709500E+11;1.5210000E+11;5.9700000E+24;#03588C;Planet
Mars;Sun;3.3961900E+06;2.0665000E+11;2.4926100E+11;6.4200000E+23;#F24E29;Planet
Jupiter;Sun;7.1492000E+07;7.4059500E+11;8.1636300E+11;1.9000000E+27;#D96C0D;Planet
Saturn;Sun;6.0268000E+07;1.3525500E+12;1.5145000E+12;5.6900000E+26;#D9CAAD;Planet
Uranus;Sun;2.5559000E+07;2.7355600E+12;3.0063900E+12;8.6800000E+25;#BBE2F2;Planet
Neptune;Sun;2.4764000E+07;4.4600000E+12;4.5400000E+12;1.0200000E+26;#5368A6;Planet
Ceres;Sun;4.7300000E+05;3.8100000E+11;4.4600000E+11;9.3900000E+20;#626973;Dwarf
Pluto;Sun;1.1900000E+06;4.4368200E+12;7.3759300E+12;1.3050000E+22;#626973;Dwarf
Haumea;Sun;8.1600000E+05;5.1831000E+12;7.7170000E+12;4.0100000E+21;#626973;Dwarf
Makemake;Sun;7.1500000E+05;5.7003000E+12;7.8922000E+12;4.4000000E+21;#626973;Dwarf
Eris;Sun;1.1630000E+06;5.7250000E+12;1.4579000E+13;1.7000000E+22;#F24E29;Dwarf
Eros;Sun;3.4400000E+04;1.6955000E+11;2.6666000E+11;6.6870000E+15;#626973;Dwarf
Moon;Earth;1.7371000E+06;3.8440000E+08;4.0550000E+08;7.3460000E+22;#F2F2F2;Moon
Phobos;Mars;2.6800000E+04;9.2360000E+06;9.5190000E+06;1.0720000E+16;#D9D9D9;Moon
Deimos;Mars;1.5000000E+04;2.3451000E+07;2.3467000E+07;1.8000000E+15;#D9D9D9;Moon
Io;Jupiter;1.8216000E+06;4.2010000E+08;4.2350000E+08;8.9319380E+22;#F2CF63;Moon
Europa;Jupiter;1.5608000E+06;6.6510000E+08;6.7710000E+08;4.8000000E+22;#049DBF;Moon
Ganymede;Jupiter;2.6341000E+06;1.0693000E+09;1.0715000E+09;1.4819000E+23;#F2F0D8;Moon
Callisto;Jupiter;2.4103000E+06;1.8695000E+09;1.8959000E+09;1.0759000E+23;#8C7E6D;Moon
Mimas;Saturn;1.9820000E+05;1.8190200E+08;1.8917600E+08;3.7463000E+19;#F2F0D8;Moon
Enceladus;Saturn;2.5210000E+05;2.3695000E+08;2.3909000E+08;1.1000000E+20;#F2F0D8;Moon
Tethys;Saturn;5.3300000E+05;2.9464000E+08;2.9470000E+08;6.1800000E+20;#F2F0D8;Moon
Dione;Saturn;5.6170000E+05;3.7657000E+08;3.7823000E+08;1.1000000E+21;#F2F0D8;Moon
Rhea;Saturn;7.6430000E+05;5.2651000E+08;5.1757000E+08;2.3100000E+21;#F2F0D8;Moon
Titan;Saturn;2.5760000E+06;1.1861500E+09;1.2575100E+09;1.3450000E+23;#F2CF63;Moon
Hyperion;Saturn;7.3560000E+05;1.3300000E+09;1.6400000E+09;5.6199000E+18;#F2F0D8;Moon
Iapetus;Saturn;1.3860000E+05;3.4605000E+09;3.6621000E+09;1.8100000E+21;#F2F0D8;Moon
Miranda;Uranus;2.3580000E+05;1.2973000E+08;1.3007000E+08;6.5900000E+19;#F2F0D8;Moon
Ariel;Uranus;5.7890000E+05;1.9067000E+08;1.9113000E+08;1.2950000E+21;#F2F0D8;Moon
Umbriel;Uranus;5.8400000E+05;2.6500000E+08;2.6700000E+08;1.2210000E+21;#F2F0D8;Moon
Titania;Uranus;7.8890000E+05;4.3580000E+08;4.3680000E+08;3.4190000E+21;#F2F0D8;Moon
Oberon;Uranus;7.6140000E+05;5.8270000E+08;5.8430000E+08;2.8830000E+21;#F2F0D8;Moon
Triton;Neptune;1.3534000E+06;3.5475300E+08;3.5476500E+08;2.1390000E+22;#F2C879;Moon
Charon;Pluto;6.0600000E+05;1.9587000E+07;1.9595000E+07;1.5860000E+21;#F2C879;Moon
;;;;;;;
;;;;;;;
